finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	body_severity
FINDING_1	Cursor-Arch, Codex-Arch, Cursor-Innovation, Codex-Innovation, Cursor-Pragmatic, Codex-Pragmatic, Cursor-Requirements, Cursor-dyn-Outcome Cascade Guard, Codex-dyn-Outcome Cascade Guard, Cursor-dyn-Manifest Reconcile Guard, Codex-dyn-Manifest Reconcile Guard	accepted	YES	true	blocker	excellent	false	Claude	YES	true	blocker	excellent	false	Codex	YES	true	blocker	excellent	false	Cursor	blocking
FINDING_2	Cursor-Innovation	accepted	NO	true	minor	adequate	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor	important
FINDING_3	Cursor-Innovation	rejected	NO	false-positive	nit	weak	false	Claude	NO	false-positive	major	adequate	false	Codex	NO	partially-true	minor	adequate	false	Cursor	important
FINDING_4	Cursor-Innovation, Cursor-Requirements, Cursor-dyn-Audit Tolerance Guard	accepted	YES	true	major	good	false	Claude	NO	true	major	good	false	Codex	YES	true	major	good	false	Cursor	important
FINDING_5	Cursor-Pragmatic	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_6	Codex-Pragmatic, Codex-Requirements	accepted	YES	true	blocker	excellent	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_7	Codex-Arch	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor	important
FINDING_8	Codex-Innovation	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor	important
FINDING_9	Codex-Pragmatic	accepted	YES	true	major	excellent	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor	important
FINDING_10	Codex-Requirements	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor	important
FINDING_11	Codex-dyn-Outcome Cascade Guard	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor	important
FINDING_12	Codex-dyn-Manifest Reconcile Guard	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor	important
OOS_1	Cursor-Innovation	neutral	YES	true	major	good	false	Claude	NO	true	minor	adequate	false	Codex	NO	true	minor	adequate	false	Cursor	important
OOS_2	Cursor-Innovation	rejected	NO	partially-true		weak	true	Claude	NO	partially-true	nit	weak	false	Codex	NO	partially-true	nit	adequate	false	Cursor	latent
OOS_3	Cursor-Pragmatic	neutral	YES	true	major	adequate	false	Claude	NO	true	minor	weak	false	Codex	NO	true	minor	adequate	false	Cursor	important
OOS_4	Cursor-Pragmatic	rejected	NO	true	minor	adequate	true	Claude	NO	true	minor	adequate	false	Codex	NO	true	minor	adequate	false	Cursor	important
OOS_5	Cursor-Requirements	rejected	NO	true		weak	true	Claude	NO	true	major	good	false	Codex	NO	partially-true	minor	weak	false	Cursor	latent
