finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	body_severity
FINDING_1	Cursor-Arch, Codex-Arch, Cursor-Innovation, Codex-Innovation, Cursor-Pragmatic, Cursor-Requirements, Codex-Pragmatic, Codex-Requirements, Cursor-dyn-finalize-runlog-auditor, Codex-dyn-finalize-runlog-auditor	accepted	YES	true	blocker	excellent	false	Claude	YES	true	major	excellent	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_2	Codex-Arch, Codex-Pragmatic, Codex-Requirements, Codex-dyn-migration-surface-sweeper	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_3	Codex-Arch	accepted	NO	partially-true	minor	adequate	true	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor	important
FINDING_4	Codex-Pragmatic, Cursor-dyn-oos-gate-auditor, Codex-dyn-oos-gate-auditor	accepted	YES	true	blocker	good	false	Claude	YES	true	major	excellent	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_5	Codex-Pragmatic, Cursor-dyn-oos-gate-auditor, Codex-dyn-oos-gate-auditor	accepted	YES	true	blocker	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_6	Codex-Innovation, Cursor-dyn-migration-surface-sweeper, Codex-dyn-migration-surface-sweeper	accepted	YES	true	blocker	good	false	Claude	YES	true	major	adequate	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_7	Codex-Pragmatic, Codex-dyn-migration-surface-sweeper	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor	important
FINDING_8	Codex-dyn-oos-gate-auditor	accepted	YES	true	major	good	false	Claude	YES	true	major	excellent	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_9	Codex-dyn-oos-gate-auditor	accepted	YES	true	major	good	false	Claude	YES	true	major	excellent	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_10	Codex-dyn-finalize-runlog-auditor, Codex-dyn-migration-surface-sweeper	accepted	YES	true	blocker	excellent	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_11	Codex-dyn-migration-surface-sweeper	rejected	NO	true	minor	adequate	false	Claude	NO	partially-true	minor	adequate	false	Codex	NO	partially-true	minor	adequate	false	Cursor	important
