finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool
FINDING_1	Cursor-Arch, Cursor-Pragmatic	accepted	YES	true	minor	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_2	Codex-Arch	accepted	YES	true	major	good	false	Claude	YES	true	major	excellent	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_3	Codex-Arch	accepted	YES	partially-true	minor	good	true	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_4	Codex-Arch, Codex-Edge, Codex-Requirements	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_5	Cursor-Edge, Cursor-Requirements	accepted	YES	true	major	good	false	Claude	YES	partially-true	major	adequate	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_6	Cursor-Innovation	accepted	YES	true	major	good	false	Claude	YES	true	major	adequate	false	Codex	YES	true	major	good	false	Cursor
FINDING_7	Codex-Innovation, Codex-Pragmatic	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor
FINDING_8	Codex-Pragmatic	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_9	Cursor-dyn-state-contract-drift	accepted	YES	true	major	good	false	Claude	EXONERATE	partially-true	minor	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_10	Cursor-dyn-cross-doc-sweep	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor
FINDING_11	Codex-dyn-cross-doc-sweep	accepted	YES	partially-true	minor	good	false	Claude	YES	true	major	good	false	Codex	YES	true	minor	good	false	Cursor
FINDING_12	Cursor-dyn-test-pin-fidelity, Codex-dyn-test-pin-fidelity	accepted	EXONERATE	true	minor	adequate	false	Claude	YES	true	minor	adequate	false	Codex	YES	true	major	good	false	Cursor
FINDING_13	Codex-dyn-test-pin-fidelity	exonerated	EXONERATE	true	nit	adequate	false	Claude	YES	true	nit	good	false	Codex	EXONERATE	partially-true	nit	adequate	false	Cursor
