finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	body_severity	scope
FINDING_1	Cursor-Arch, Codex-Arch, Cursor-Innovation, Codex-Innovation, Cursor-Requirements, Codex-Requirements, Cursor-dyn-Lint Parity Auditor, Codex-dyn-Lint Parity Auditor	accepted	YES	true	major	good	false	codex-validity	YES	true	major	excellent	false	codex-plan-fidelity	YES	true	major	excellent	false	codex-pragmatism	major	in_scope
FINDING_2	Cursor-Arch, Codex-Arch, Cursor-Innovation, Cursor-Pragmatic, Cursor-Requirements, Cursor-dyn-Lint Parity Auditor, Codex-dyn-Lint Parity Auditor	accepted	YES	true	major	good	false	codex-validity	YES	true	minor	excellent	false	codex-plan-fidelity	YES	true	minor	excellent	false	codex-pragmatism	major	in_scope
FINDING_3	Cursor-Arch, Cursor-Requirements, Codex-Requirements, Codex-dyn-Lint Parity Auditor	neutral	NO	partially-true	minor	good	false	codex-validity	YES	true	minor	good	false	codex-plan-fidelity	NO	false-positive	nit	adequate	false	codex-pragmatism	major	in_scope
FINDING_4	Codex-Arch, Codex-Innovation, Cursor-Pragmatic, Codex-Pragmatic, Cursor-Requirements, Codex-Requirements, Cursor-dyn-Lint Parity Auditor, Codex-dyn-Lint Parity Auditor	accepted	YES	true	major	excellent	false	codex-validity	YES	true	major	excellent	false	codex-plan-fidelity	YES	true	major	excellent	false	codex-pragmatism	major	in_scope
FINDING_5	Codex-Arch, Cursor-Innovation	accepted	YES	true	minor	adequate	false	codex-validity	YES	true	minor	adequate	false	codex-plan-fidelity	NO	partially-true	nit	adequate	true	codex-pragmatism	major	in_scope
FINDING_6	Cursor-Innovation, Codex-Arch, Codex-Pragmatic, Cursor-dyn-Lint Parity Auditor	accepted	YES	true	major	good	false	codex-validity	YES	true	major	excellent	false	codex-plan-fidelity	YES	partially-true	minor	good	false	codex-pragmatism	major	in_scope
FINDING_7	Cursor-Pragmatic, Codex-dyn-Lint Parity Auditor	rejected	NO	partially-true	minor	adequate	false	codex-validity	NO	partially-true	minor	adequate	false	codex-plan-fidelity	NO	partially-true	minor	adequate	false	codex-pragmatism	major	in_scope
FINDING_8	Cursor-Arch	accepted	NO	true	major	good	false	codex-validity	YES	true	major	excellent	false	codex-plan-fidelity	YES	true	major	excellent	false	codex-pragmatism	major	in_scope
FINDING_9	Cursor-Innovation	accepted	NO	true	major	good	false	codex-validity	YES	true	major	excellent	false	codex-plan-fidelity	YES	true	major	excellent	false	codex-pragmatism	major	in_scope
OOS_1	Cursor-Arch	accepted	YES	true	minor	no-fix	false	codex-validity	YES	true	minor	no-fix	false	codex-plan-fidelity	YES	true	minor	no-fix	false	codex-pragmatism	minor	oos
OOS_2	Cursor-dyn-Lint Parity Auditor	neutral	NO	true	minor	no-fix	false	codex-validity	NO	true	minor	no-fix	false	codex-plan-fidelity	YES	true	minor	no-fix	false	codex-pragmatism	minor	oos
