schema_version	scope	severity	focus_area	location	what	scenario_or_breakage	suggested_fix
1	in_scope	blocking	correctness	plan.txt (Files to modify/create) / python/plan_quality.py:1424-1428	Omit `python/plan_quality.py` and `skills/design/scripts/review-design-step3-loop.sh` while Gate B still passes probe `--codex-present`/`--cursor-present`	After `source-env.sh` drops probe keys, design wrappers default `CODEX_PRESENT=false` (`skills/design/scripts/review-design-step3-loop.sh:514-515`). `revise_plan_with_waterfall_main` skips Codex/Cursor when `args.codex_present == "false"` (`python/plan_quality.py:1424-1428`), so accepted findings never get external revise tiers even with binaries on PATH.	Add `### UPDATED: python/plan_quality.py` and `### UPDATED: skills/design/scripts/review-design-step3-loop.sh`: gate revise/auto-fix tiers on `CODEX_BINARY_FOUND`/`CURSOR_BINARY_FOUND` (or `shutil.which`), and pass those flags from the loop instead of probe `--codex-present`.
2	in_scope	blocking	correctness	plan.txt (Files to modify/create) / python/test_plan_review_panel.py:164-167	Missing plan-review panel and voter dispatch caller updates after probe globals leave durable env	`/design` Step 3 uses `plan-review panel-dispatch` with `--codex-present`/`--cursor-present` (`python/test_plan_review_panel.py:164-167`). Generated design wrappers default both to `false` when absent (`skills/design/scripts/design-step3-review.sh:24-27`, `skills/design/scripts/design-step-prelude.sh:24-27`). Removing probe keys from `source-env.sh` without rewiring callers silently drops all external plan-review slots.	Add surfaces for the panel/voter dispatch caller chain (embedded `dispatch-plan-review-panel.sh` / `dispatch-plan-voters.sh` plus their caller in the Step 3 loop): pass binary-derived attempt flags, not probe health or wrapper defaults.
3	in_scope	important	correctness	plan.txt (Files to modify/create) / skills/design/scripts/design-step2b-drafter.sh:122-125	Omit `design-step2b-drafter.sh` while drafter routing still keys off `CODEX_PRESENT`	Step 2b drafter chooses Codex only when `CODEX_PRESENT=true` (`skills/design/scripts/design-step2b-drafter.sh:122-125`). With probe keys removed from `source-env.sh`, drafter always falls back to Claude despite an installed Codex binary.	Add `### UPDATED: skills/design/scripts/design-step2b-drafter.sh`: select external drafter from `CODEX_BINARY_FOUND` (or fresh `which`), not Step 0 probe `CODEX_PRESENT`.
4	in_scope	important	risk-integration	plan.txt (Files to modify/create) / skills/implement/SKILL.md:402	Omit `skills/implement/SKILL.md` Step 2 prose while code path changes	Plan updates `python/implement_dispatch.py` to gate on `CURSOR_BINARY_FOUND`, but implement SKILL still instructs the orchestrator to fail closed when session-env `CURSOR_PRESENT!=true` (`skills/implement/SKILL.md:402`). Post-change runs can hit contradictory Step 0 vs Step 2 behavior.	Add `### UPDATED: skills/implement/SKILL.md`: replace `CURSOR_PRESENT` routing prose with binary-found semantics matching `implement_dispatch.py`.
5	in_scope	important	correctness	plan.txt (Files to modify/create) / skills/review/SKILL.md:33	Omit `skills/review/SKILL.md` Step 0 availability binding	Standalone `/review` still parses probe availability into `codex_available`/`cursor_available` and passes them to `review core` / `dispatch-panel` / `dispatch-code-voters.sh`. It also allows both-down `AskUserQuestion` Continue, conflicting with the both-down hard-fail contract in `skills/shared/external-reviewers.md`.	Add `### UPDATED: skills/review/SKILL.md`: bind attempt flags from `CODEX_BINARY_FOUND`/`CURSOR_BINARY_FOUND`; route both-down as terminal hard-fail.
6	in_scope	important	correctness	python/bootstrap.py:354-361 / plan.txt (### UPDATED: python/bootstrap.py)	Bootstrap resume path still rehydrates probe presence from durable session-env	Resume reads `CODEX_PRESENT`/`CURSOR_PRESENT` via `read_session()` (`python/bootstrap.py:358-359`). After `session_env.py` stops writing those keys, resume gets empty values; `degraded-tools-gate` fail-safes to down (`python/agents.py:1069-1072`) and absorbed continue-tail routing breaks.	Extend bootstrap plan: on resume, rehydrate Step 0 probe presence only from immediate `session setup --check-reviewers` stdout (or a Step 0-only cache), never from durable `session-env.sh`.
7	in_scope	important	architecture	plan.txt (Approach) / skills/design/scripts/design-step-prelude.sh:24-29	No centralized design-wrapper strategy for post-probe routing	Every generated `/design` wrapper defaults `CODEX_PRESENT=false` and aliases `CODEX_AVAILABLE` from it (`skills/design/scripts/design-step-prelude.sh:24-27`). Plan lists only `design-step0-session.sh`; it does not say how Step 3, decompose, auto-fix, brainstorm, and Gate B callers obtain binary-derived attempt flags.	REither add `### UPDATED: skills/design/scripts/design-step-prelude.sh` (map runtime attempt flags from `CODEX_BINARY_FOUND`) or enumerate every caller that passes `--codex-present`/`--cursor-present` (including `python/decompose.py` split panel).
8	out_of_scope	important	correctness	python/decompose.py:685-697	[OUT_OF_SCOPE] Split-path decompose panel uses probe `--codex-present` args not listed in plan	`decompose panel-dispatch` gates slots on `codex_present`/`cursor_present` booleans (`python/decompose.py:685-697`), fed from the same design env defaults; split-path will mirror Step 3 external-slot loss after probe keys are removed.	File a follow-up issue to wire decompose panel dispatch to binary-found flags (same contract as plan-review panel).

### Finding details

**1 — Gate B revise path (blocking).** The plan’s Python and shell coverage stops before the mechanical apply pipeline. That pipeline is where probe-false defaults become silent skips.

**2 — Plan-review panel dispatch (blocking).** This is the highest-risk gap for the routing-regression archetype: callers still speak `--codex-present`, but durable env will no longer supply true values.

**3 — Step 2b drafter (important).** Same default-false pattern as Step 3, earlier in the flow.

**4–5 — Skill prose drift (important).** `/implement` and `/review` orchestrators read SKILL contracts; code-only changes leave contradictory instructions.

**6 — Implement resume (important).** Easy to miss because happy-path Step 0 still gets probe KVs from setup stdout; resume does not.

**7 — Design wrapper sprawl (important).** Minimum-change fix likely belongs in one prelude or an explicit caller inventory, not only `design-step0-session.sh`.

**8 — Decompose (out of scope).** Real regression, but split-path is secondary to the main Step 0 / implement / review surfaces in the issue scope. Worth a tracked issue.
