finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	body_severity
FINDING_1	Cursor-Arch, Cursor-Innovation, Cursor-Pragmatic, Cursor-Requirements	accepted	YES	true	major	good	false	Claude	NO	false-positive	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_2	Codex-Arch, Codex-Requirements	accepted	YES	true	major	good	false	Claude	YES	partially-true	major	good	false	Codex	YES	true	major	good	false	Cursor	important
FINDING_3	Codex-Arch	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	NO	partially-true	minor	adequate	false	Cursor	important
FINDING_4	Codex-Innovation, Codex-dyn-escalation-site-coverage	accepted	YES	true	major	good	false	Claude	YES	partially-true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_5	Codex-Pragmatic, Cursor-dyn-escalation-site-coverage	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	NO	partially-true	minor	adequate	false	Cursor	important
FINDING_6	Codex-Pragmatic, Codex-dyn-escalation-site-coverage	accepted	YES	uncertain	major	good	true	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor	important
FINDING_7	Codex-Requirements, Cursor-dyn-tier-b-boundary-drift, Codex-dyn-tier-b-boundary-drift	accepted	YES	true	major	excellent	false	Claude	YES	partially-true	major	good	false	Codex	NO	true	minor	good	false	Cursor	important
FINDING_8	Codex-Requirements	accepted	YES	true	minor	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_9	Cursor-dyn-tier-b-boundary-drift, Codex-dyn-tier-b-boundary-drift	accepted	YES	true	major	excellent	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_10	Cursor-dyn-tier-b-boundary-drift	accepted	YES	partially-true	major	good	true	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor	important
FINDING_11	Cursor-dyn-tier-b-boundary-drift	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	good	false	Cursor	important
FINDING_12	Codex-dyn-tier-b-boundary-drift	accepted	YES	true	minor	good	false	Claude	YES	true	major	adequate	false	Codex	YES	true	major	adequate	false	Cursor	important
FINDING_13	Codex-Innovation	accepted	YES	true	major	excellent	false	Claude	NO	true	minor	adequate	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_14	Cursor-dyn-kv-stdout-contract	accepted	YES	true	major	excellent	false	Claude	NO	true	minor	adequate	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_15	Codex-dyn-kv-stdout-contract	accepted	YES	true	major	excellent	false	Claude	NO	true	minor	good	false	Codex	YES	true	major	excellent	false	Cursor	important
OOS_1	Cursor-dyn-tier-b-boundary-drift	accepted	YES	true	minor	good	false	Claude	NO	true	nit	adequate	false	Codex	YES	true	minor	adequate	false	Cursor	latent
