finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool
FINDING_1	cursor-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|dyn-risk-integration-output.txt	rejected	NO	true	nit	good	false	cursor-validity	NO	true	nit	good	false	cursor-plan-fidelity	NO	true	nit	good	false	cursor-pragmatism
FINDING_2	cursor-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|cursor-specialist-testing-output.txt	rejected	NO	true	nit	good	false	cursor-validity	NO	true	nit	good	false	cursor-plan-fidelity	NO	true	nit	good	false	cursor-pragmatism
FINDING_3	cursor-specialist-correctness-output.txt|codex-specialist-edge-cases-output.txt|dyn-risk-integration-output.txt|dyn-architecture-output.txt	rejected	NO	true		excellent	true	cursor-validity	NO	true		excellent	true	cursor-plan-fidelity	NO	true		adequate	true	cursor-pragmatism
FINDING_4	cursor-specialist-edge-cases-output.txt|cursor-specialist-testing-output.txt	rejected	NO	true		adequate	true	cursor-validity	NO	true		adequate	true	cursor-plan-fidelity	NO	true		adequate	true	cursor-pragmatism
FINDING_5	cursor-specialist-edge-cases-output.txt	rejected	NO	true		adequate	true	cursor-validity	NO	true		adequate	true	cursor-plan-fidelity	NO	true		adequate	true	cursor-pragmatism
FINDING_6	cursor-specialist-testing-output.txt	rejected	NO	true	nit	good	false	cursor-validity	NO	true	nit	good	false	cursor-plan-fidelity	NO	true	nit	good	false	cursor-pragmatism
FINDING_7	dyn-risk-integration-output.txt	rejected	NO	true		weak	true	cursor-validity	NO	true		adequate	true	cursor-plan-fidelity	NO	true		adequate	true	cursor-pragmatism
FINDING_8	dyn-risk-integration-output.txt	rejected	NO	true		adequate	true	cursor-validity	NO	true		adequate	true	cursor-plan-fidelity	NO	true		weak	true	cursor-pragmatism
FINDING_9	dyn-architecture-output.txt	rejected	NO	partially-true	major	good	false	cursor-validity	NO	partially-true	minor	good	false	cursor-plan-fidelity	NO	partially-true	major	good	false	cursor-pragmatism
FINDING_10	dyn-architecture-output.txt	rejected	NO	true		good	true	cursor-validity	NO	true		good	true	cursor-plan-fidelity	NO	true		adequate	true	cursor-pragmatism
