finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain
FINDING_1	cursor-specialist-correctness-output.txt|codex-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|codex-specialist-edge-cases-output.txt|cursor-specialist-testing-output.txt|codex-specialist-testing-output.txt	accepted	YES	true	major	weak	false	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_10	codex-specialist-correctness-output.txt	accepted	NO	partially-true	minor	weak	true	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_11	codex-specialist-correctness-output.txt|dyn-regex-fidelity-output.txt	accepted	YES	true	major	weak	false	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_12	cursor-specialist-edge-cases-output.txt|cursor-specialist-testing-output.txt|dyn-harness-regression-output.txt|dyn-contract-migration-output.txt	accepted	YES	true	major	weak	false	YES	true	major	adequate	false	YES	true	major	adequate	false
FINDING_13	cursor-specialist-edge-cases-output.txt|dyn-harness-regression-output.txt|dyn-contract-migration-output.txt	neutral	YES	true	minor	adequate	false	NO	true	nit	adequate	false	NO	true	minor	adequate	false
FINDING_14	cursor-specialist-edge-cases-output.txt	accepted	YES	true	major	weak	true	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_15	codex-specialist-edge-cases-output.txt	accepted	YES	true	major	weak	true	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_16	codex-specialist-edge-cases-output.txt	accepted	YES	true	major	weak	true	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_17	cursor-specialist-testing-output.txt|dyn-harness-regression-output.txt|dyn-contract-migration-output.txt	accepted	YES	true	major	weak	false	YES	true	major	adequate	false	NO	true	minor	adequate	false
FINDING_18	dyn-regex-fidelity-output.txt	rejected	NO	partially-true	minor	weak	true	NO	partially-true	nit	weak	false	NO	partially-true	minor	weak	true
FINDING_19	dyn-regex-fidelity-output.txt	rejected	NO	true	minor	weak	false	NO	partially-true	nit	weak	false	NO	partially-true	minor	weak	true
FINDING_2	cursor-specialist-correctness-output.txt|codex-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|cursor-specialist-testing-output.txt|codex-specialist-testing-output.txt|dyn-contract-migration-output.txt	accepted	YES	true	major	weak	false	YES	true	major	adequate	false	YES	true	major	adequate	false
FINDING_20	dyn-contract-migration-output.txt	accepted	YES	true	major	weak	false	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_3	cursor-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|codex-specialist-testing-output.txt	accepted	NO	partially-true	minor	weak	true	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_4	cursor-specialist-correctness-output.txt|codex-specialist-correctness-output.txt|cursor-specialist-testing-output.txt|codex-specialist-testing-output.txt|dyn-harness-regression-output.txt|dyn-regex-fidelity-output.txt|dyn-contract-migration-output.txt	accepted	YES	true	major	weak	false	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_5	cursor-specialist-correctness-output.txt	neutral	NO	uncertain	minor	weak	true	NO	partially-true	minor	adequate	false	YES	true	major	good	false
FINDING_6	cursor-specialist-correctness-output.txt	rejected	NO	partially-true	minor	weak	true	NO	true	minor	adequate	false	NO	partially-true	minor	adequate	false
FINDING_7	codex-specialist-correctness-output.txt|codex-specialist-testing-output.txt	accepted	YES	partially-true	major	weak	true	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_8	codex-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|codex-specialist-edge-cases-output.txt	accepted	YES	true	major	weak	false	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_9	codex-specialist-correctness-output.txt	accepted	YES	partially-true	major	weak	true	YES	true	major	adequate	false	YES	true	major	good	false
OOS_1	cursor-specialist-correctness-output.txt	rejected	NO	true	nit	weak	false	NO	true	nit	adequate	false	NO	true	nit	adequate	false
OOS_10	dyn-contract-migration-output.txt	rejected	NO	partially-true	minor	no-fix	false	NO	false-positive	nit	no-fix	false	NO	uncertain	minor	no-fix	true
OOS_11	dyn-contract-migration-output.txt	rejected	NO	true	minor	weak	true	NO	true	minor	adequate	false	NO	partially-true	minor	adequate	false
OOS_2	cursor-specialist-correctness-output.txt	accepted	NO	true	minor	weak	false	YES	true	minor	adequate	false	YES	true	minor	adequate	false
OOS_3	cursor-specialist-correctness-output.txt	accepted	YES	true	minor	adequate	true	YES	true	minor	adequate	false	NO	partially-true	nit	weak	false
OOS_4	cursor-specialist-edge-cases-output.txt	rejected	NO	true	nit	weak	false	NO	true	nit	adequate	false	NO	partially-true	nit	weak	false
OOS_5	dyn-harness-regression-output.txt	rejected	NO	true	nit	weak	false	NO	true	nit	adequate	false	NO	true	nit	adequate	false
OOS_6	dyn-harness-regression-output.txt	rejected	NO	partially-true	minor	no-fix	false	NO	false-positive	nit	no-fix	false	NO	uncertain	minor	no-fix	true
OOS_7	dyn-regex-fidelity-output.txt	rejected	NO	true	nit	weak	false	NO	partially-true	nit	weak	false	NO	true	nit	weak	false
OOS_8	dyn-regex-fidelity-output.txt	rejected	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	no-fix	false
OOS_9	dyn-regex-fidelity-output.txt	rejected	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	no-fix	false	NO	true	nit	no-fix	false
