finding_id	finding_reviewers	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	body_severity
FINDING_1	Cursor-Arch, Cursor-Innovation	neutral	YES	partially-true	blocker	good	false	Claude	NO	true	blocker	good	false	Codex	NO	partially-true	minor	good	false	Cursor	blocking
FINDING_2	Codex-Arch, Codex-Innovation, Codex-Requirements, Cursor-dyn-retirement-sweep, Codex-dyn-retirement-sweep, Codex-dyn-diagnostic-parity	accepted	YES	true	blocker	excellent	false	Claude	YES	true	blocker	good	false	Codex	YES	true	blocker	excellent	false	Cursor	blocking
FINDING_3	Codex-Arch, Codex-Innovation, Codex-dyn-retirement-sweep, Codex-dyn-diagnostic-parity	accepted	YES	true	major	good	false	Claude	YES	true	blocker	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_4	Codex-Pragmatic, Cursor-dyn-argv-fidelity	accepted	YES	true	major	excellent	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_5	Cursor-Requirements	accepted	YES	true	major	good	false	Claude	YES	true	blocker	good	false	Codex	YES	true	major	good	false	Cursor	important
FINDING_6	Codex-Requirements, Codex-dyn-diagnostic-parity	accepted	YES	true	minor	adequate	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_7	Cursor-dyn-argv-fidelity	rejected	NO	partially-true	major	good	false	Claude	NO	true	major	good	false	Codex	NO	partially-true	major	excellent	false	Cursor	important
FINDING_8	Codex-dyn-argv-fidelity	accepted	YES	true	blocker	excellent	false	Claude	YES	true	major	good	false	Codex	YES	true	blocker	excellent	false	Cursor	important
FINDING_9	Cursor-dyn-argv-fidelity	accepted	YES	true	major	good	false	Claude	YES	true	major	good	false	Codex	YES	true	major	excellent	false	Cursor	important
FINDING_10	Cursor-dyn-argv-fidelity	rejected	NO	true	major	good	false	Claude	NO	true	minor	good	false	Codex	NO	partially-true	major	excellent	false	Cursor	important
FINDING_11	Cursor-dyn-diagnostic-parity	rejected	NO	partially-true	major	good	false	Claude	NO	true	major	good	false	Codex	NO	false-positive	major	adequate	false	Cursor	important
FINDING_12	Cursor-Pragmatic	rejected	NO	partially-true	major	good	false	Claude	NO	partially-true	minor	good	false	Codex	NO	partially-true	major	good	false	Cursor	important
OOS_1	Cursor-dyn-argv-fidelity	rejected	NO	partially-true	minor	adequate	false	Claude	NO	true	major	adequate	false	Codex	NO	true		adequate	true	Cursor	latent
