# family	prefix	suffix (split so fixtures do not contain scanner-shaped values)
anthropic-openai-key	sk-	ant-abcdefghijklmnopqrstuvwxyz0123456789ABCD
github-token	ghp_	abcdefghijklmnopqrstuvwxyz0123456789ABCDEFGH
aws-akia	AKI	AIOSFODNN7EXAMPLE
jwt	eyJ	hbGciOiJIUzI1NiJ9.eyJzdWIiOiIxMjM0NTY3ODkwIn0.SflKxwRJSMeKKF2QT4fwpMeJf36POk6yJV_adQssw5c
pem-private-key	-----BEGIN RSA 	PRIVATE KEY-----
cursor-api-key	crsr_	1620abcdefghijklmnopqrstuvwxyz0123456789
slack-token	xox	b-1234567890-abcdefghijklmnop
google-api-key	AIz	a0123456789abcdefghijklmnopqrstuvwxyz
stripe-live-key	sk_	live_0123456789abcdefghijklmnop
gitlab-pat	glpat-	0123456789abcdefghijklmnop
